Date / Time,host#HOST1#% Free Memory avg 1 h,host#HOST2#% Free Memory avg 1 h,host#HOST3#% Free Memory avg 1 h,host#HOST4#% Free Memory avg 1 h,host#HOST5#% Free Memory avg 1 h,host#HOST6#% Free Memory avg 1 h,host#HOST7#% Free Memory avg 1 h,host#HOST8#% Free Memory avg 1 h,host#HOST9#% Free Memory avg 1 h,host#HOST10#% Free Memory avg 1 h,host#HOST11#% Free Memory avg 1 h,host#HOST12#% Free Memory avg 1 h,host#HOST13#% Free Memory avg 1 h,host#HOST14#% Free Memory avg 1 h,host#HOST15#% Free Memory avg 1 h,host#HOST16#% Free Memory avg 1 h,host#HOST17#% Free Memory avg 1 h,host#HOST18#% Free Memory avg 1 h,host#HOST19#% Free Memory avg 1 h,host#HOST20#% Free Memory avg 1 h,host#HOST21#% Free Memory avg 1 h,host#HOST22#% Free Memory avg 1 h,host#HOST23#% Free Memory avg 1 h,host#HOST24#% Free Memory avg 1 h,host#HOST25#% Free Memory avg 1 h,host#HOST26#% Free Memory avg 1 h,host#HOST27#% Free Memory avg 1 h,host#HOST28#% Free Memory avg 1 h,host#HOST29#% Free Memory avg 1 h
1319169600,77.89,77.73,77.79,78.06,87.26,93.41,96.65,90.66,96.4,,94.87,54.27,40.66,51.17,81.3,85.09,61.2,79.67,82.8,72.13,54.72,57.55,36.66,33.9,35.55,44.61,44.99,45.59,40.13
1319173200,77.89,77.73,77.79,78.06,87.47,93.44,96.64,90.71,96.41,,94.86,54.27,40.74,51.17,81.29,92.34,61.2,79.65,82.8,71.95,56.12,61.31,37.83,39.13,33.12,46.13,45.93,47.57,32.24
1319176800,77.88,77.73,77.79,78.06,87.4,93.55,96.65,90.68,96.41,,94.86,54.64,40.8,51.17,81.3,92.35,61.2,79.63,82.8,71.83,55.75,61.26,38.49,39.16,33.44,45.92,46.54,48.38,33.61
1319180400,77.88,77.73,77.79,78.05,87.16,93.6,96.67,90.73,96.4,,94.84,54.84,40.69,51.16,81.26,92.35,61.09,79.61,82.42,72.02,55.44,60.98,38.64,40.58,36.38,44.84,45.71,48.78,31.82
1319184000,77.88,77.72,77.78,78.06,87.1,93.6,96.72,90.33,96.41,,94.84,54.83,40.67,51.17,81.27,92.34,60.58,79.53,82.8,72.23,55.2,60.89,39.18,40.69,45.79,45.23,46.55,49.01,33.1
1319187600,77.87,77.72,77.78,78.05,86.98,93.53,96.69,90.07,96.38,,94.84,54.83,40.55,51.17,81.29,92.35,61.2,79.55,82.8,73.03,54.79,60.77,41.81,39.49,45.25,45.15,47.21,47.84,35.8
1319191200,77.87,77.72,77.78,78.05,86.7,93.47,96.65,90.17,96.39,,94.84,54.83,40.52,51.17,81.29,92.34,61.2,79.54,82.78,71.99,54.7,60.52,41.91,38.97,44.39,44.96,46.89,46.91,35.17
1319194800,77.87,77.72,77.78,78.05,85.92,93.48,96.69,90.21,96.39,,94.85,54.83,40.51,51.17,81.29,92.35,61.2,79.52,82.75,71.96,54.38,60.54,38.07,38.15,33.2,44.04,44.99,46.53,
1319198400,77.87,77.72,77.78,78.05,86.93,93.51,96.67,90.15,96.36,,94.85,54.82,40.53,51.17,81.29,92.34,61.2,79.51,82.76,71.76,54.34,60.46,37.64,38.25,32.74,44.2,46.17,46.73,31.87
1319202000,77.87,77.71,77.77,78.05,86.8,93.55,96.53,90.11,96.34,,94.85,54.82,40.49,51.17,81.29,92.34,61.2,79.49,82.77,71.87,54.42,60.2,37.25,37.73,32.32,43.77,45.65,46.27,33.15
1319205600,77.86,77.71,77.77,78.05,86.59,93.58,96.5,90.4,,,94.84,54.82,40.49,51.17,81.29,92.35,61.2,79.48,83.14,72.15,54.37,60.07,37.17,37.39,32.4,43.48,45.33,46.08,
1319209200,77.86,77.71,77.77,78.05,86.24,93.52,96.56,90.92,96.16,,94.85,54.82,40.5,51.18,81.29,92.34,61.2,79.46,82.89,72.32,54.45,60.08,36.95,36.89,38.91,43.08,45.2,45.62,33.02
1319212800,77.85,77.71,77.77,78.05,86.27,93.44,96.56,90.76,96.13,,94.86,54.82,40.58,51.36,81.29,92.35,61.2,79.44,82.72,71.51,59.58,60.1,36.98,36.83,38.33,43.07,45.04,45.43,32.73
1319216400,77.85,77.7,77.77,78.04,86.26,93.34,96.67,90.86,96.11,,94.87,54.81,40.58,51.38,81.29,92.34,61.2,79.42,82.72,71.12,61.11,59.85,36.78,36.43,38.0,42.85,44.92,45.22,32.63
1319220000,77.85,77.7,77.77,78.04,86.25,93.28,96.68,90.57,96.1,,94.94,54.82,40.6,51.38,81.29,92.35,61.2,79.4,82.73,71.68,60.95,59.78,36.55,36.32,37.96,42.47,44.91,44.88,32.39
1319223600,77.85,77.7,77.77,78.04,86.34,93.33,96.67,90.79,96.12,,94.98,54.82,40.61,51.38,81.29,92.35,61.2,79.39,82.74,71.46,60.89,59.66,36.52,36.11,37.39,42.27,44.53,44.7,33.63
1319227200,77.85,77.69,77.77,78.04,86.65,93.33,96.67,90.74,96.25,,94.98,54.82,40.63,51.38,81.29,92.35,61.2,79.37,82.74,71.49,60.76,59.63,36.2,35.61,36.91,42.11,44.4,44.29,41.61
1319230800,77.85,77.69,77.77,78.04,86.79,93.44,96.71,90.93,96.34,,94.97,54.82,40.57,51.38,81.29,92.35,61.2,79.36,82.75,71.26,60.69,59.37,36.04,35.5,36.86,41.97,44.22,43.98,41.25
1319234400,77.85,77.69,77.77,78.03,86.85,93.53,96.71,91.14,96.46,,94.97,54.81,40.62,51.38,81.29,92.34,61.2,79.35,82.77,72.18,60.54,59.37,36.15,34.76,36.72,41.97,43.78,43.93,41.34
1319238000,77.86,77.7,77.77,78.04,87.2,93.59,96.8,91.21,96.46,99.57,94.98,54.81,40.61,51.38,81.29,92.34,61.2,91.84,82.77,72.43,60.41,59.4,36.09,34.38,36.53,42.02,43.71,43.89,41.21
1319241600,77.85,77.7,77.77,78.03,87.15,93.53,96.82,91.73,96.47,99.56,94.96,54.81,40.59,51.38,81.29,92.34,61.2,97.21,82.77,71.89,60.34,59.47,35.98,34.36,36.57,41.86,43.95,43.68,41.1
1319245200,77.85,77.69,77.77,78.03,87.28,93.56,96.83,91.7,96.5,99.42,94.97,54.81,40.63,51.38,81.29,92.35,61.2,97.36,82.76,72.22,60.26,59.37,35.99,34.15,36.34,41.79,43.85,43.38,40.94
1319248800,77.85,77.69,77.76,78.03,87.34,93.63,96.83,91.73,96.52,99.24,94.98,54.81,39.54,51.38,81.29,92.66,61.2,97.39,82.76,71.91,60.22,59.35,35.81,33.82,35.99,41.51,43.53,43.4,40.77
1319252400,77.85,77.69,77.75,78.03,87.29,93.64,96.82,92.09,96.52,99.23,94.98,54.81,39.84,51.38,81.29,93.46,61.2,97.42,82.76,71.79,60.17,59.61,35.76,33.64,35.86,41.43,43.59,43.23,40.53
